   137/299     12.3G    0.0487   0.03536   0.01555   0.09961       213       640    0.3496    0.6108    0.5206    0.3283   0.04362    0.0254   0.01125
   138/299     12.3G   0.04877    0.0354    0.0156   0.09978       196       640    0.3496    0.6105    0.5205    0.3283   0.04361    0.0254   0.01124
   139/299     12.3G   0.04869   0.03542   0.01549    0.0996       138       640    0.3501    0.6107    0.5209    0.3282   0.04359   0.02539   0.01124
   140/299     12.3G    0.0487    0.0353    0.0155    0.0995       203       640    0.3501    0.6109    0.5207    0.3285   0.04358   0.02539   0.01123
   141/299     12.3G   0.04865   0.03533   0.01547   0.09946       219       640    0.3493    0.6112    0.5215    0.3289   0.04357   0.02538   0.01123
   142/299     12.3G   0.04862   0.03548   0.01542   0.09952       155       640    0.3499    0.6125    0.5218    0.3291   0.04356   0.02538   0.01121
   143/299     12.3G   0.04867   0.03535   0.01544   0.09946       201       640    0.3501    0.6133    0.5218    0.3293   0.04354   0.02537   0.01121
   144/299     12.3G   0.04865   0.03543   0.01544   0.09952       216       640    0.3487    0.6135    0.5215    0.3296   0.04353   0.02537    0.0112
   145/299     12.3G   0.04853   0.03534   0.01535   0.09922       189       640    0.3496    0.6146     0.522    0.3302   0.04352   0.02536   0.01119
   146/299     12.3G   0.04855   0.03537   0.01541   0.09932       209       640    0.3493    0.6148    0.5222      0.33   0.04351   0.02535   0.01118
   147/299     12.3G   0.04856   0.03535   0.01537   0.09929       160       640    0.3491    0.6151    0.5225    0.3301   0.04348   0.02535   0.01116
   148/299     12.3G    0.0485   0.03534   0.01528   0.09913       159       640    0.3504     0.616    0.5228    0.3302   0.04346   0.02534   0.01115
   149/299     12.3G    0.0485   0.03534   0.01531   0.09916       219       640    0.3502    0.6158    0.5227    0.3299   0.04344   0.02534   0.01114
   150/299     12.3G   0.04846   0.03517   0.01535   0.09898       232       640    0.3496     0.616    0.5229    0.3302   0.04343   0.02533   0.01114
   151/299     12.3G   0.04844   0.03534   0.01521   0.09899       229       640    0.3489    0.6146    0.5237    0.3309   0.04341   0.02532   0.01114
   152/299     12.3G    0.0484   0.03546   0.01523   0.09908       175       640    0.3494    0.6141    0.5233     0.331    0.0434   0.02531   0.01112
   153/299     12.3G   0.04829   0.03523   0.01518    0.0987       256       640    0.3514    0.6152    0.5237    0.3309   0.04338   0.02531   0.01112
   154/299     12.3G   0.04839   0.03527   0.01517   0.09883       191       640     0.352    0.6167    0.5246    0.3311   0.04337   0.02531   0.01111
   155/299     12.3G    0.0483   0.03532   0.01517   0.09879       139       640     0.352    0.6161    0.5244    0.3317   0.04335   0.02531    0.0111
   156/299     12.3G   0.04823   0.03511   0.01515    0.0985       149       640    0.3507    0.6175    0.5249    0.3323   0.04334    0.0253   0.01108
   157/299     12.3G   0.04823   0.03519   0.01515   0.09857       188       640    0.3506     0.617     0.525    0.3326   0.04333   0.02529   0.01108
   158/299     12.3G   0.04823   0.03514   0.01516   0.09852       262       640    0.3495    0.6163    0.5251    0.3329   0.04332   0.02528   0.01106
   159/299     12.3G   0.04825   0.03528   0.01512   0.09864       238       640    0.3515     0.616    0.5254    0.3332   0.04331   0.02528   0.01106
   160/299     12.3G    0.0481   0.03514   0.01508   0.09833       179       640    0.3504    0.6176    0.5256    0.3333    0.0433   0.02528   0.01104
   161/299     12.3G   0.04815   0.03506   0.01504   0.09825       200       640    0.3517    0.6176    0.5257    0.3334   0.04329   0.02527   0.01103
   162/299     12.3G   0.04806   0.03511   0.01499   0.09815       225       640    0.3518    0.6188    0.5261    0.3334   0.04327   0.02527   0.01102
   163/299     12.3G    0.0481   0.03501   0.01505   0.09816       171       640      0.35     0.619    0.5259    0.3334   0.04326   0.02527   0.01102
